MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,RL,4.2626798770413155,9.32375833901174,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0.0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0.0,1040,1,0.0,1,0,3,0.6931471805599453,TA,5,Typ,0,NA,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,2,2008,WD,Normal,129500
60,RL,4.454347296253507,9.386392315756542,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,5.659482215759621,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0.0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0.0,2324,1,0.0,3,0,4,0.6931471805599453,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,3.091042453358316,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7,2006,New,Partial,345000
20,RL,4.248495242049359,9.470317173335742,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0.0,175,912,GasA,TA,Y,SBrkr,912,0,0.0,912,1,0.0,1,0,2,0.6931471805599453,TA,4,Typ,0,NA,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0.0,0.0,0.0,5.176149732573829,0.0,NA,NA,NA,0.0,9,2008,WD,Normal,144000
20,RL,4.5217885770490405,9.273596821611198,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,5.726847747587197,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0.0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0.0,1494,0,0.0,2,0,3,0.6931471805599453,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,3.5263605246161616,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,8,2007,New,Partial,279500
20,RL,4.248495242049359,9.298442820197728,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.3612921657094255,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0.0,520,1253,GasA,TA,Y,SBrkr,1253,0,0.0,1253,1,0.0,1,1,2,0.6931471805599453,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,5.365976015021851,5.176149732573829,0.0,0.0,0.0,NA,GdWo,NA,0.0,5,2008,WD,Normal,157000
45,RM,3.9512437185814275,8.71948076085107,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0.0,832,832,GasA,Ex,Y,FuseA,854,0,0.0,854,0,0.0,1,0,2,0.6931471805599453,TA,5,Typ,0,NA,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,4.727387818712341,0.0,0.0,0.0,0.0,NA,GdPrv,NA,0.0,7,2007,WD,Normal,132000
20,RL,4.248495242049359,9.32741204356202,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,5.198497031265826,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0.0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0.0,1004,1,0.0,1,0,2,0.6931471805599453,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,Shed,6.55250788703459,3,2010,WD,Normal,149000
90,RL,4.290459441148391,9.286560397887591,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0.0,0,0,GasA,TA,Y,SBrkr,1296,0,0.0,1296,0,0.0,2,0,2,1.0986122886681098,TA,6,Typ,0,NA,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,Shed,6.2166061010848646,10,2006,WD,Normal,90000
20,RL,4.204692619390966,9.524859098381523,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0.0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0.0,1114,1,0.0,1,1,3,0.6931471805599453,Gd,6,Typ,0,NA,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,4.634728988229636,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2008,WD,Normal,159000
20,RL,4.2626798770413155,8.93075873555827,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0.0,525,1029,GasA,TA,Y,SBrkr,1339,0,0.0,1339,0,0.0,1,0,3,0.6931471805599453,TA,6,Min1,0,NA,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,MnPrv,NA,0.0,5,2009,COD,Abnorml,139000
60,RL,4.624972813284271,9.562123369834488,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.942799375126701,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0.0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0.0,2376,0,0.0,3,1,4,0.6931471805599453,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,5.043425116919247,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,11,2006,New,Partial,325300
45,RM,4.060443010546419,8.915969311373605,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0.0,637,637,GasA,Ex,Y,FuseF,1108,0,0.0,1108,0,0.0,1,0,3,0.6931471805599453,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0.0,5.327876168789581,0.0,0.0,0.0,NA,GdPrv,NA,0.0,6,2007,WD,Normal,139400
20,RL,4.330733340286331,9.184304357425342,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,5.641907070938114,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0.0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0.0,1795,0,0.0,2,0,3,0.6931471805599453,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,5.075173815233827,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,9,2008,WD,Normal,230000
120,RM,3.8066624897703196,8.348774539791274,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0.0,200,1040,GasA,TA,Y,SBrkr,1060,0,0.0,1060,1,0.0,1,0,3,0.6931471805599453,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,4.709530201312334,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2007,WD,Normal,129900
20,RL,4.248495242049359,9.017604776833355,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,6.505784060128229,204,1060,GasA,Ex,Y,SBrkr,1060,0,0.0,1060,1,0.0,1,0,3,0.6931471805599453,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,4.51085950651685,0.0,0.0,0.0,0.0,NA,MnPrv,NA,0.0,5,2010,WD,Normal,154000
20,RL,4.709530201312334,9.56317796268366,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,6.46302945692067,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0.0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0.0,1600,0,0.0,2,0,3,0.6931471805599453,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,4.04305126783455,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7,2009,WD,Normal,256300
20,RL,4.110873864173311,8.881975184248867,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,6.18826412308259,180,900,GasA,TA,Y,SBrkr,900,0,0.0,900,0,0.6931471805599453,1,0,3,0.6931471805599453,Gd,5,Typ,0,NA,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,3.4965075614664802,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,5,2010,WD,Normal,134800
20,RL,4.59511985013459,9.348274558065496,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,5.303304908059076,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0.0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0.0,1704,1,0.0,2,0,3,0.6931471805599453,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,3.9318256327243257,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,5,2010,WD,Normal,306000
20,RL,3.871201010907891,9.700269170029188,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0.0,207,1484,GasA,TA,Y,SBrkr,1600,0,0.0,1600,1,0.0,1,0,2,0.6931471805599453,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,5.556828061699537,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,12,2006,WD,Normal,207500
30,RM,4.110873864173311,8.752265313595721,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0.0,520,520,GasA,Fa,N,SBrkr,520,0,0.0,520,0,0.0,1,0,1,0.6931471805599453,Fa,4,Typ,0,NA,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,0.0,4.477336814478207,0.0,0.0,0.0,NA,NA,NA,0.0,5,2008,WD,Normal,68500
70,C (all),3.9318256327243257,9.04793908261736,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0.0,649,649,GasA,TA,N,SBrkr,649,668,0.0,1317,0,0.0,1,0,3,0.6931471805599453,TA,6,Typ,0,NA,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,4.007333185232471,5.153291594497779,0.0,0.0,0.0,NA,MnPrv,NA,0.0,7,2008,WD,Normal,40000
20,RL,4.248495242049359,9.053101595549691,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0.0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0.0,1228,0,0.0,1,1,3,0.6931471805599453,Gd,6,Typ,0,NA,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,4.189654742026425,0.0,0.0,0.0,0.0,NA,MnPrv,NA,0.0,6,2008,WD,Normal,149350
20,RL,4.454347296253507,9.3101857069459,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0.0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0.0,1234,0,0.0,2,0,3,0.6931471805599453,Gd,7,Typ,0,NA,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,3.4339872044851463,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,1,2008,WD,Normal,179900
20,RL,4.2626798770413155,9.26416545867109,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0.0,380,1398,GasA,Gd,Y,SBrkr,1700,0,0.0,1700,0,0.6931471805599453,1,1,4,0.6931471805599453,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,3.6635616461296463,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,4,2010,WD,Normal,165500
120,RL,4.110873864173311,8.897545598709327,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.5093883366279774,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0.0,408,1561,GasA,Ex,Y,SBrkr,1561,0,0.0,1561,1,0.0,2,0,2,0.6931471805599453,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,3.871201010907891,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,8,2007,WD,Normal,277500
60,RL,4.6913478822291435,9.504426892100957,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,4.890349128221754,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0.0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0.0,2452,0,0.0,3,1,4,0.6931471805599453,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,3.4965075614664802,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,9,2006,WD,Normal,309000
20,RL,4.727387818712341,9.292841593487926,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0.0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0.0,1097,0,0.0,1,1,3,0.6931471805599453,TA,6,Typ,0,NA,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,4.174387269895637,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2009,WD,Normal,145000
20,RL,4.31748811353631,9.051696278536586,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,6.478509642208569,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0.0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0.0,1297,0,0.6931471805599453,1,0,3,0.6931471805599453,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,10,2009,WD,Normal,153000
20,RL,4.23410650459726,8.977525200965243,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0.0,326,1057,GasA,TA,Y,SBrkr,1057,0,0.0,1057,1,0.0,1,0,3,0.6931471805599453,Gd,5,Typ,0,NA,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,3.970291913552122,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,1,2010,WD,Abnorml,109000
90,RL,4.189654742026425,8.706324840138741,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,NA,NA,NA,NA,0,NA,0.0,0,0,GasA,TA,N,FuseP,1152,0,0.0,1152,0,0.0,2,0,2,1.0986122886681098,Fa,6,Typ,0,NA,NA,0.0,NA,0,0,NA,NA,N,0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6,2008,WD,AdjLand,82000
20,RL,4.442651256490317,9.066354521447801,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,4.624972813284271,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0.0,445,1088,GasA,Ex,Y,SBrkr,1324,0,0.0,1324,0,0.0,2,0,3,0.6931471805599453,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,4.9344739331306915,0.0,0.0,0.0,0.0,NA,GdWo,NA,0.0,12,2006,WD,Abnorml,160000
20,RL,4.7535901911063645,9.735423867488873,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0.0,383,1350,GasA,Gd,Y,SBrkr,1328,0,0.0,1328,0,0.6931471805599453,1,1,2,0.6931471805599453,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,308,TA,TA,P,0,4.653960350157523,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7,2007,WD,Normal,170000
