MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,3,4.2626798770413155,9.32375833901174,1,1,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,2,0.0,3,4,1,4,4,4,5,906,6,0.0,134,1040,1,0,1,4,1040,0,0.0,1040,1,0.0,1,0,3,0.6931471805599453,3,5,6,0,3,5,1965.0,3,1,384,5,5,2,0,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,2,2008,8,4,129500
60,3,4.454347296253507,9.386392315756542,1,1,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,3,5.659482215759621,0,4,2,0,4,4,2,998,6,0.0,177,1175,1,0,1,4,1182,1142,0.0,2324,1,0.0,3,0,4,0.6931471805599453,0,11,6,2,2,3,2005.0,0,3,736,5,5,2,147,3.091042453358316,0.0,0.0,0.0,0.0,3,4,1,0.0,7,2006,6,5,345000
20,3,4.248495242049359,9.470317173335742,1,1,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,2,0.0,3,4,1,4,4,4,0,737,6,0.0,175,912,1,4,1,4,912,0,0.0,912,1,0.0,1,0,2,0.6931471805599453,3,4,6,0,3,5,1962.0,3,1,352,5,5,2,140,0.0,0.0,0.0,5.176149732573829,0.0,3,4,1,0.0,9,2008,8,4,144000
20,3,4.5217885770490405,9.273596821611198,1,1,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,3,5.726847747587197,2,4,2,2,4,0,6,0,6,0.0,1494,1494,1,0,1,4,1494,0,0.0,1494,0,0.0,2,0,3,0.6931471805599453,2,7,6,1,2,1,2006.0,2,3,840,5,5,2,160,3.5263605246161616,0.0,0.0,0.0,0.0,3,4,1,0.0,8,2007,6,5,279500
20,3,4.248495242049359,9.298442820197728,1,1,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,1,5.3612921657094255,3,4,1,4,4,4,1,733,6,0.0,520,1253,1,4,1,4,1253,0,0.0,1253,1,0.0,1,1,2,0.6931471805599453,3,5,6,1,1,1,1960.0,2,1,352,5,5,2,0,5.365976015021851,5.176149732573829,0.0,0.0,0.0,3,1,1,0.0,5,2008,8,4,157000
45,4,3.9512437185814275,8.71948076085107,1,1,3,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,2,0.0,3,4,0,4,4,4,6,0,6,0.0,832,832,1,0,1,0,854,0,0.0,854,0,0.0,1,0,2,0.6931471805599453,3,5,6,0,3,5,1991.0,3,2,576,5,5,2,48,4.727387818712341,0.0,0.0,0.0,0.0,3,0,1,0.0,7,2007,8,4,132000
20,3,4.248495242049359,9.32741204356202,1,1,0,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,1,5.198497031265826,3,4,1,4,4,4,0,578,6,0.0,426,1004,1,0,1,4,1004,0,0.0,1004,1,0.0,1,0,2,0.6931471805599453,3,5,6,1,5,1,1970.0,0,2,480,5,5,2,0,0.0,0.0,0.0,0.0,0.0,3,4,3,6.55250788703459,3,2010,8,4,149000
90,3,4.290459441148391,9.286560397887591,1,1,3,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,2,0.0,3,4,3,3,2,3,4,0,4,0.0,0,0,1,4,1,4,1296,0,0.0,1296,0,0.0,2,0,2,1.0986122886681098,3,6,6,0,3,4,1967.0,3,2,516,5,5,2,0,0.0,0.0,0.0,0.0,0.0,3,4,3,6.2166061010848646,10,2006,8,4,90000
20,3,4.204692619390966,9.524859098381523,1,1,3,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,2,0.0,3,4,2,4,4,4,2,646,6,0.0,468,1114,1,0,1,4,1114,0,0.0,1114,1,0.0,1,1,3,0.6931471805599453,2,6,6,0,3,5,2004.0,3,2,576,5,5,2,0,4.634728988229636,0.0,0.0,0.0,0.0,3,4,1,0.0,6,2008,8,4,159000
20,3,4.2626798770413155,8.93075873555827,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,2,0.0,3,4,1,4,4,4,3,504,6,0.0,525,1029,1,4,1,4,1339,0,0.0,1339,0,0.0,1,0,3,0.6931471805599453,3,6,2,0,3,1,1958.0,3,1,294,5,5,2,0,0.0,0.0,0.0,0.0,0.0,3,2,1,0.0,5,2009,0,0,139000
60,3,4.624972813284271,9.562123369834488,1,1,0,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,5.942799375126701,2,4,2,0,4,0,6,0,6,0.0,1158,1158,1,0,1,4,1158,1218,0.0,2376,0,0.0,3,1,4,0.6931471805599453,2,9,6,1,2,3,2005.0,2,3,853,5,5,2,240,5.043425116919247,0.0,0.0,0.0,0.0,3,4,1,0.0,11,2006,6,5,325300
45,4,4.060443010546419,8.915969311373605,1,0,3,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,2,0.0,3,4,2,4,4,4,6,0,6,0.0,637,637,1,0,1,1,1108,0,0.0,1108,0,0.0,1,0,3,0.6931471805599453,2,6,6,1,2,1,1930.0,3,1,280,5,5,0,0,0.0,5.327876168789581,0.0,0.0,0.0,3,0,1,0.0,6,2007,8,4,139400
20,3,4.330733340286331,9.184304357425342,1,1,3,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,5.641907070938114,2,4,2,2,4,4,6,0,6,0.0,1777,1777,1,0,1,4,1795,0,0.0,1795,0,0.0,2,0,3,0.6931471805599453,2,7,6,1,2,1,2002.0,2,2,534,5,5,2,171,5.075173815233827,0.0,0.0,0.0,0.0,3,4,1,0.0,9,2008,8,4,230000
120,4,3.8066624897703196,8.348774539791274,1,1,3,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,2,0.0,3,4,2,2,4,4,2,840,6,0.0,200,1040,1,4,1,4,1060,0,0.0,1060,1,0.0,1,0,3,0.6931471805599453,3,6,6,1,5,1,1976.0,3,2,572,5,5,2,100,4.709530201312334,0.0,0.0,0.0,0.0,3,4,1,0.0,6,2007,8,4,129900
20,3,4.248495242049359,9.017604776833355,1,1,0,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,2,0.0,3,2,1,4,4,2,5,188,0,6.505784060128229,204,1060,1,0,1,4,1060,0,0.0,1060,1,0.0,1,0,3,0.6931471805599453,2,6,6,1,5,1,1968.0,3,1,270,5,5,2,406,4.51085950651685,0.0,0.0,0.0,0.0,3,2,1,0.0,5,2010,8,4,154000
20,3,4.709530201312334,9.56317796268366,1,1,3,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,3,6.46302945692067,2,4,2,2,4,4,6,0,6,0.0,1566,1566,1,0,1,4,1600,0,0.0,1600,0,0.0,2,0,3,0.6931471805599453,2,7,6,1,2,1,2007.0,2,3,890,5,5,2,0,4.04305126783455,0.0,0.0,0.0,0.0,3,4,1,0.0,7,2009,8,4,256300
20,3,4.110873864173311,8.881975184248867,1,1,3,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,2,0.0,3,4,1,4,4,2,1,234,5,6.18826412308259,180,900,1,4,1,4,900,0,0.0,900,0,0.6931471805599453,1,0,3,0.6931471805599453,2,5,6,0,3,5,2005.0,3,2,576,5,5,2,222,3.4965075614664802,0.0,0.0,0.0,0.0,3,4,1,0.0,5,2010,8,4,134800
20,3,4.59511985013459,9.348274558065496,1,1,3,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,3,5.303304908059076,2,4,2,0,4,4,2,1218,6,0.0,486,1704,1,0,1,4,1704,0,0.0,1704,1,0.0,2,0,3,0.6931471805599453,2,7,6,1,2,1,2008.0,2,3,772,5,5,2,0,3.9318256327243257,0.0,0.0,0.0,0.0,3,4,1,0.0,5,2010,8,4,306000
20,3,3.871201010907891,9.700269170029188,1,1,0,3,0,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,2,0.0,3,4,1,4,4,1,1,1277,6,0.0,207,1484,1,4,1,4,1600,0,0.0,1600,1,0.0,1,0,2,0.6931471805599453,3,6,6,2,2,1,1957.0,2,1,319,5,5,2,288,5.556828061699537,0.0,0.0,0.0,0.0,3,4,1,0.0,12,2006,8,4,207500
30,4,4.110873864173311,8.752265313595721,1,1,0,3,0,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,2,0.0,3,4,0,4,4,4,6,0,6,0.0,520,520,1,1,0,4,520,0,0.0,520,0,0.0,1,0,1,0.6931471805599453,1,4,6,0,3,5,1920.0,3,1,240,1,5,2,49,0.0,4.477336814478207,0.0,0.0,0.0,3,4,1,0.0,5,2008,8,4,68500
70,0,3.9318256327243257,9.04793908261736,1,2,3,3,0,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,2,0.0,3,1,0,4,4,4,6,0,6,0.0,649,649,1,4,0,4,649,668,0.0,1317,0,0.0,1,0,3,0.6931471805599453,3,6,6,0,3,5,1920.0,3,1,250,5,1,0,0,4.007333185232471,5.153291594497779,0.0,0.0,0.0,3,2,1,0.0,7,2008,8,4,40000
20,3,4.248495242049359,9.053101595549691,1,1,0,3,0,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,2,0.0,3,4,1,4,4,4,6,0,6,0.0,1228,1228,1,2,1,4,1228,0,0.0,1228,0,0.0,1,1,3,0.6931471805599453,2,6,6,0,3,1,1966.0,3,1,271,5,5,2,0,4.189654742026425,0.0,0.0,0.0,0.0,3,2,1,0.0,6,2008,8,4,149350
20,3,4.454347296253507,9.3101857069459,1,1,3,3,0,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,2,0.0,2,4,2,0,4,0,6,0,6,0.0,1234,1234,1,0,1,4,1234,0,0.0,1234,0,0.0,2,0,3,0.6931471805599453,2,7,6,0,3,1,2007.0,2,2,484,5,5,2,0,3.4339872044851463,0.0,0.0,0.0,0.0,3,4,1,0.0,1,2008,8,4,179900
20,3,4.2626798770413155,9.26416545867109,1,1,0,3,0,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,2,0.0,3,4,1,4,4,4,5,1018,6,0.0,380,1398,1,2,1,4,1700,0,0.0,1700,0,0.6931471805599453,1,1,4,0.6931471805599453,2,6,6,1,2,1,1959.0,2,2,447,5,5,2,0,3.6635616461296463,0.0,0.0,0.0,0.0,3,4,1,0.0,4,2010,8,4,165500
120,3,4.110873864173311,8.897545598709327,1,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,5.5093883366279774,0,4,2,0,4,4,2,1153,6,0.0,408,1561,1,0,1,4,1561,0,0.0,1561,1,0.0,2,0,2,0.6931471805599453,0,6,6,1,2,1,2005.0,0,2,556,5,5,2,203,3.871201010907891,0.0,0.0,0.0,0.0,3,4,1,0.0,8,2007,8,4,277500
60,3,4.6913478822291435,9.504426892100957,1,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,3,4.890349128221754,2,4,2,0,4,0,6,0,6,0.0,1117,1117,1,0,1,4,1132,1320,0.0,2452,0,0.0,3,1,4,0.6931471805599453,2,9,6,1,2,3,2004.0,0,3,691,5,5,2,113,3.4965075614664802,0.0,0.0,0.0,0.0,3,4,1,0.0,9,2006,8,4,309000
20,3,4.727387818712341,9.292841593487926,1,1,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,2,0.0,3,4,2,2,4,4,6,0,6,0.0,1097,1097,1,0,1,4,1097,0,0.0,1097,0,0.0,1,1,3,0.6931471805599453,3,6,6,0,3,1,1995.0,3,2,672,5,5,2,392,4.174387269895637,0.0,0.0,0.0,0.0,3,4,1,0.0,6,2009,8,4,145000
20,3,4.31748811353631,9.051696278536586,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,6.478509642208569,3,4,1,4,4,4,5,1213,6,0.0,84,1297,1,2,1,4,1297,0,0.0,1297,0,0.6931471805599453,1,0,3,0.6931471805599453,3,5,6,1,5,1,1954.0,0,2,498,5,5,2,0,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,10,2009,8,4,153000
20,3,4.23410650459726,8.977525200965243,1,1,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,2,0.0,3,2,1,4,4,4,2,731,6,0.0,326,1057,1,4,1,4,1057,0,0.0,1057,1,0.0,1,0,3,0.6931471805599453,2,5,6,0,3,5,1953.0,3,1,246,5,5,2,0,3.970291913552122,0.0,0.0,0.0,0.0,3,4,1,0.0,1,2010,8,0,109000
90,3,4.189654742026425,8.706324840138741,1,1,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,2,0.0,3,4,2,3,2,3,4,0,4,0.0,0,0,1,4,0,2,1152,0,0.0,1152,0,0.0,2,0,2,1.0986122886681098,1,6,6,0,3,6,0.0,1,0,0,3,3,0,0,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,6,2008,8,1,82000
20,3,4.442651256490317,9.066354521447801,1,1,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,4.624972813284271,3,4,1,4,4,4,5,643,6,0.0,445,1088,1,0,1,4,1324,0,0.0,1324,0,0.0,2,0,3,0.6931471805599453,3,6,6,1,5,1,1965.0,2,2,440,5,5,2,0,4.9344739331306915,0.0,0.0,0.0,0.0,3,1,1,0.0,12,2006,8,0,160000
20,3,4.7535901911063645,9.735423867488873,1,1,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,2,0.0,3,2,1,4,4,1,1,967,6,0.0,383,1350,1,2,1,4,1328,0,0.0,1328,0,0.6931471805599453,1,1,2,0.6931471805599453,3,5,6,2,2,1,1959.0,2,1,308,5,5,1,0,4.653960350157523,0.0,0.0,0.0,0.0,3,4,1,0.0,7,2007,8,4,170000
85,3,4.248495242049359,9.1248914101437,1,1,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,2,0.0,3,4,1,2,4,0,0,747,3,4.543294782270004,0,840,1,2,1,4,884,0,0.0,884,1,0.0,1,0,2,0.6931471805599453,2,5,6,0,3,1,1983.0,2,2,504,5,2,2,240,0.0,0.0,0.0,0.0,0.0,3,2,1,0.0,12,2007,8,4,144000
20,3,4.248495242049359,9.127067452782361,1,1,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,2,0.0,3,4,1,2,4,0,3,280,1,6.198478716492308,167,938,1,4,1,4,938,0,0.0,938,1,0.0,1,0,3,0.6931471805599453,3,5,6,0,3,5,1977.0,3,1,308,5,5,2,145,0.0,0.0,0.0,0.0,0.0,3,2,1,0.0,7,2008,8,4,130250
20,3,4.2626798770413155,8.980423936374544,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,2,0.0,3,4,1,4,4,4,0,179,1,6.2285110035911835,465,1150,1,0,1,0,1150,0,0.0,1150,1,0.0,1,0,3,0.6931471805599453,3,6,6,0,3,1,1959.0,2,1,300,5,5,2,0,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,5,2006,8,4,141000
120,3,4.127134385045092,8.943636705909594,1,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,6.023447592961033,0,4,2,0,4,4,2,456,6,0.0,1296,1752,1,0,1,4,1752,0,0.0,1752,1,0.0,2,0,2,0.6931471805599453,0,6,6,1,2,1,2005.0,2,2,576,5,5,2,196,4.418840607796598,0.0,0.0,0.0,0.0,3,4,1,0.0,2,2010,8,4,319900
50,3,3.8918202981106265,9.458995712459116,1,1,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,2,0.0,2,4,2,0,4,4,2,1351,6,0.0,83,1434,1,0,1,4,1518,631,0.0,2149,1,0.0,1,1,1,0.6931471805599453,2,6,6,1,0,1,2003.0,2,2,670,5,5,2,168,3.784189633918261,0.0,0.0,5.293304824724492,0.0,3,4,1,0.0,8,2009,8,0,239686
20,1,4.442651256490317,9.314430080500564,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,2,0.0,2,4,2,2,4,0,2,24,6,0.0,1632,1656,1,0,1,4,1656,0,0.0,1656,0,0.0,2,0,3,0.6931471805599453,2,7,6,0,3,1,2006.0,2,3,826,5,5,2,0,4.990432586778736,0.0,0.0,0.0,0.0,3,4,1,0.0,7,2007,8,4,249700
190,4,3.5263605246161616,8.402231172946555,1,1,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,2,0.0,3,4,0,4,4,4,6,0,6,0.0,736,736,1,2,1,4,736,716,0.0,1452,0,0.0,2,0,2,1.3862943611198906,3,8,6,0,3,6,0.0,1,0,0,3,3,0,0,0.0,4.634728988229636,0.0,0.0,0.0,3,4,1,0.0,6,2009,6,5,113000
20,3,4.204692619390966,8.954544488386723,1,1,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,2,0.0,3,4,1,4,4,4,1,763,6,0.0,192,955,1,0,1,4,955,0,0.0,955,1,0.0,1,0,3,0.6931471805599453,3,6,6,0,3,1,1966.0,3,1,386,5,5,2,0,0.0,0.0,0.0,0.0,0.0,3,2,1,0.0,1,2007,8,4,127000
60,3,4.248495242049359,9.537483513308878,1,1,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,2,0.0,3,4,2,2,4,0,2,182,6,0.0,612,794,1,2,1,4,794,676,0.0,1470,0,0.6931471805599453,2,0,3,0.6931471805599453,3,6,6,0,3,1,1997.0,0,2,388,5,5,2,0,4.330733340286331,0.0,0.0,0.0,0.0,3,4,1,0.0,7,2007,8,4,177000
50,4,3.970291913552122,8.738895704934043,1,1,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,2,0.0,3,4,2,4,4,4,6,0,6,0.0,816,816,1,4,1,4,816,0,5.8888779583328805,1176,0,0.0,1,0,3,0.6931471805599453,3,6,6,1,2,5,1985.0,3,2,528,5,5,2,112,0.0,0.0,0.0,0.0,0.0,3,2,3,5.993961427306569,9,2006,8,4,114500
90,4,4.709530201312334,9.044639916198465,0,1,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,2,0.0,1,4,1,2,4,1,3,104,2,6.569481420414296,0,816,1,4,0,4,816,0,0.0,816,1,0.0,1,0,2,0.6931471805599453,3,5,6,0,3,4,1963.0,3,2,516,5,5,2,106,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,5,2010,8,4,110000
20,3,4.23410650459726,10.825203541055348,1,1,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,2,0.0,2,4,1,0,4,1,2,1810,6,0.0,32,1842,1,2,1,4,1842,0,0.0,1842,2,0.0,0,1,0,0.6931471805599453,2,5,6,1,2,1,1981.0,0,3,894,5,5,2,857,4.290459441148391,0.0,0.0,0.0,0.0,3,4,1,0.0,11,2006,8,4,385000
80,3,4.110873864173311,8.872767529910936,1,1,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,2,0.0,3,4,1,4,4,4,0,384,6,0.0,0,384,1,4,1,4,1360,0,0.0,1360,0,0.0,1,0,3,0.6931471805599453,3,6,2,1,5,5,1962.0,3,2,572,5,5,2,0,3.9318256327243257,0.0,0.0,0.0,0.0,3,2,1,0.0,2,2007,8,4,130000
20,3,4.61512051684126,9.227787285579904,1,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,1,5.60947179518496,3,4,1,4,4,4,1,490,6,0.0,935,1425,1,2,1,4,1425,0,0.0,1425,0,0.0,2,0,3,0.6931471805599453,3,7,6,1,2,1,1964.0,2,2,576,5,5,2,0,0.0,0.0,6.0112671744041615,0.0,0.0,3,4,1,0.0,7,2008,8,4,180500
160,1,3.2188758248682006,7.880804344674901,1,2,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,1,6.124683390894205,2,4,2,2,4,4,2,649,6,0.0,321,970,1,0,1,4,983,756,0.0,1739,1,0.0,2,1,3,0.6931471805599453,2,7,6,0,3,1,1999.0,0,2,480,5,5,2,115,0.0,0.0,0.0,0.0,0.0,3,4,1,0.0,8,2009,8,0,172500
60,3,4.499809670330265,9.362718052397065,1,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,2,0.0,2,4,2,2,4,4,6,0,6,0.0,860,860,1,0,1,4,860,860,0.0,1720,0,0.0,2,1,3,0.6931471805599453,2,7,6,0,3,1,2004.0,2,2,565,5,5,2,0,4.2626798770413155,0.0,0.0,0.0,0.0,3,4,1,0.0,8,2006,8,4,196500
60,3,4.204692619390966,9.52390946537981,1,1,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,1,6.939253946041508,0,4,2,0,4,1,6,0,6,0.0,1410,1410,1,0,1,4,1426,1519,0.0,2945,0,0.0,3,1,3,0.6931471805599453,2,10,6,1,2,3,2006.0,0,3,641,5,5,2,192,0.0,3.6375861597263857,0.0,0.0,0.0,3,4,1,0.0,10,2006,6,5,438780
