MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtUnfSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,TotalSF
45,4.060443010546419,8.915969311373605,7,7,1930,1950,0.0,637,0,0.0,1108,0,0.0,1,0,3,0.6931471805599453,6,1,1930.0,1,280,0,0.0,5.327876168789581,0.0,0.0,0.0,0.0,6,2007,139400,1745
20,4.330733340286331,9.184304357425342,8,5,2002,2002,5.641907070938114,1777,0,0.0,1795,0,0.0,2,0,3,0.6931471805599453,7,1,2002.0,2,534,171,5.075173815233827,0.0,0.0,0.0,0.0,0.0,9,2008,230000,3572
120,3.80666248977032,8.348774539791274,5,7,1976,1976,0.0,200,0,0.0,1060,1,0.0,1,0,3,0.6931471805599453,6,1,1976.0,2,572,100,4.709530201312334,0.0,0.0,0.0,0.0,0.0,6,2007,129900,2100
20,4.248495242049359,9.017604776833355,5,8,1968,2001,0.0,204,0,0.0,1060,1,0.0,1,0,3,0.6931471805599453,6,1,1968.0,1,270,406,4.51085950651685,0.0,0.0,0.0,0.0,0.0,5,2010,154000,2120
20,4.709530201312334,9.56317796268366,8,5,2007,2007,6.46302945692067,1566,0,0.0,1600,0,0.0,2,0,3,0.6931471805599453,7,1,2007.0,3,890,0,4.04305126783455,0.0,0.0,0.0,0.0,0.0,7,2009,256300,3166
20,4.110873864173311,8.881975184248867,5,7,1951,2000,0.0,180,0,0.0,900,0,0.6931471805599453,1,0,3,0.6931471805599453,5,0,2005.0,2,576,222,3.49650756146648,0.0,0.0,0.0,0.0,0.0,5,2010,134800,1800
20,4.59511985013459,9.348274558065496,8,5,2007,2008,5.303304908059076,486,0,0.0,1704,1,0.0,2,0,3,0.6931471805599453,7,1,2008.0,3,772,0,3.9318256327243257,0.0,0.0,0.0,0.0,0.0,5,2010,306000,3408
20,3.871201010907891,9.700269170029188,5,6,1957,1997,0.0,207,0,0.0,1600,1,0.0,1,0,2,0.6931471805599453,6,2,1957.0,1,319,288,5.556828061699537,0.0,0.0,0.0,0.0,0.0,12,2006,207500,3084
30,4.110873864173311,8.752265313595721,4,6,1927,1950,0.0,520,0,0.0,520,0,0.0,1,0,1,0.6931471805599453,4,0,1920.0,1,240,49,0.0,4.477336814478207,0.0,0.0,0.0,0.0,5,2008,68500,1040
70,3.9318256327243257,9.04793908261736,4,4,1920,1950,0.0,649,668,0.0,1317,0,0.0,1,0,3,0.6931471805599453,6,0,1920.0,1,250,0,4.007333185232471,5.153291594497779,0.0,0.0,0.0,0.0,7,2008,40000,1298
20,4.248495242049359,9.053101595549691,5,6,1966,2006,0.0,1228,0,0.0,1228,0,0.0,1,1,3,0.6931471805599453,6,0,1966.0,1,271,0,4.189654742026425,0.0,0.0,0.0,0.0,0.0,6,2008,149350,2456
20,4.454347296253507,9.3101857069459,8,5,2007,2007,0.0,1234,0,0.0,1234,0,0.0,2,0,3,0.6931471805599453,7,0,2007.0,2,484,0,3.4339872044851463,0.0,0.0,0.0,0.0,0.0,1,2008,179900,2468
20,4.262679877041316,9.26416545867109,5,5,1959,1959,0.0,380,0,0.0,1700,0,0.6931471805599453,1,1,4,0.6931471805599453,6,1,1959.0,2,447,0,3.6635616461296463,0.0,0.0,0.0,0.0,0.0,4,2010,165500,3098
120,4.110873864173311,8.897545598709327,9,5,2005,2005,5.5093883366279774,408,0,0.0,1561,1,0.0,2,0,2,0.6931471805599453,6,1,2005.0,2,556,203,3.871201010907891,0.0,0.0,0.0,0.0,0.0,8,2007,277500,3122
60,4.691347882229144,9.504426892100955,8,5,2004,2005,4.890349128221754,1117,1320,0.0,2452,0,0.0,3,1,4,0.6931471805599453,9,1,2004.0,3,691,113,3.49650756146648,0.0,0.0,0.0,0.0,0.0,9,2006,309000,2249
20,4.727387818712341,9.292841593487926,5,5,1994,1995,0.0,1097,0,0.0,1097,0,0.0,1,1,3,0.6931471805599453,6,0,1995.0,2,672,392,4.174387269895637,0.0,0.0,0.0,0.0,0.0,6,2009,145000,2194
20,4.31748811353631,9.051696278536586,5,6,1954,1990,6.478509642208569,84,0,0.0,1297,0,0.6931471805599453,1,0,3,0.6931471805599453,5,1,1954.0,2,498,0,0.0,0.0,0.0,0.0,0.0,0.0,10,2009,153000,2594
20,4.23410650459726,8.977525200965243,5,7,1953,2007,0.0,326,0,0.0,1057,1,0.0,1,0,3,0.6931471805599453,5,0,1953.0,1,246,0,3.970291913552122,0.0,0.0,0.0,0.0,0.0,1,2010,109000,2114
90,4.189654742026425,8.706324840138741,4,5,1955,1955,0.0,0,0,0.0,1152,0,0.0,2,0,2,1.0986122886681098,6,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,2008,82000,1152
20,4.442651256490317,9.0663545214478,6,5,1965,1965,4.624972813284271,445,0,0.0,1324,0,0.0,2,0,3,0.6931471805599453,6,1,1965.0,2,440,0,4.934473933130692,0.0,0.0,0.0,0.0,0.0,12,2006,160000,2412
20,4.7535901911063645,9.735423867488873,5,6,1959,1959,0.0,383,0,0.0,1328,0,0.6931471805599453,1,1,2,0.6931471805599453,5,2,1959.0,1,308,0,4.653960350157523,0.0,0.0,0.0,0.0,0.0,7,2007,170000,2678
85,4.248495242049359,9.1248914101437,5,7,1983,1983,0.0,0,0,0.0,884,1,0.0,1,0,2,0.6931471805599453,5,0,1983.0,2,504,240,0.0,0.0,0.0,0.0,0.0,0.0,12,2007,144000,1724
20,4.248495242049359,9.12706745278236,5,6,1975,1980,0.0,167,0,0.0,938,1,0.0,1,0,3,0.6931471805599453,5,0,1977.0,1,308,145,0.0,0.0,0.0,0.0,0.0,0.0,7,2008,130250,1876
20,4.262679877041316,8.980423936374544,5,6,1959,1959,0.0,465,0,0.0,1150,1,0.0,1,0,3,0.6931471805599453,6,0,1959.0,1,300,0,0.0,0.0,0.0,0.0,0.0,0.0,5,2006,141000,2300
120,4.127134385045092,8.943636705909594,9,5,2005,2005,6.023447592961033,1296,0,0.0,1752,1,0.0,2,0,2,0.6931471805599453,6,1,2005.0,2,576,196,4.418840607796598,0.0,0.0,0.0,0.0,0.0,2,2010,319900,3504
50,3.8918202981106265,9.458995712459116,7,5,2003,2003,0.0,83,631,0.0,2149,1,0.0,1,1,1,0.6931471805599453,6,1,2003.0,2,670,168,3.784189633918261,0.0,0.0,5.293304824724492,0.0,0.0,8,2009,239686,2952
20,4.442651256490317,9.314430080500564,8,5,2006,2006,0.0,1632,0,0.0,1656,0,0.0,2,0,3,0.6931471805599453,7,0,2006.0,3,826,0,4.990432586778736,0.0,0.0,0.0,0.0,0.0,7,2007,249700,3312
190,3.5263605246161616,8.402231172946555,4,5,1920,2008,0.0,736,716,0.0,1452,0,0.0,2,0,2,1.3862943611198906,8,0,0.0,0,0,0,0.0,4.634728988229636,0.0,0.0,0.0,0.0,6,2009,113000,1472
20,4.204692619390966,8.954544488386723,5,7,1966,1966,0.0,192,0,0.0,955,1,0.0,1,0,3,0.6931471805599453,6,0,1966.0,1,386,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2007,127000,1910
60,4.248495242049359,9.537483513308878,6,6,1997,1997,0.0,612,676,0.0,1470,0,0.6931471805599453,2,0,3,0.6931471805599453,6,0,1997.0,2,388,0,4.330733340286331,0.0,0.0,0.0,0.0,0.0,7,2007,177000,1588
50,3.970291913552122,8.738895704934043,6,6,1934,1950,0.0,816,0,5.8888779583328805,1176,0,0.0,1,0,3,0.6931471805599453,6,1,1985.0,2,528,112,0.0,0.0,0.0,0.0,0.0,5.993961427306569,9,2006,114500,1632
90,4.709530201312334,9.044639916198465,5,5,1963,1963,0.0,0,0,0.0,816,1,0.0,1,0,2,0.6931471805599453,5,0,1963.0,2,516,106,0.0,0.0,0.0,0.0,0.0,0.0,5,2010,110000,1632
20,4.23410650459726,10.825203541055348,9,5,1981,1987,0.0,32,0,0.0,1842,2,0.0,0,1,0,0.6931471805599453,5,1,1981.0,3,894,857,4.290459441148391,0.0,0.0,0.0,0.0,0.0,11,2006,385000,3684
80,4.110873864173311,8.872767529910936,5,5,1955,1955,0.0,0,0,0.0,1360,0,0.0,1,0,3,0.6931471805599453,6,1,1962.0,2,572,0,3.9318256327243257,0.0,0.0,0.0,0.0,0.0,2,2007,130000,1744
20,4.61512051684126,9.227787285579904,6,5,1964,1964,5.60947179518496,935,0,0.0,1425,0,0.0,2,0,3,0.6931471805599453,7,1,1964.0,2,576,0,0.0,0.0,6.0112671744041615,0.0,0.0,0.0,7,2008,180500,2850
160,3.218875824868201,7.880804344674901,8,5,1999,2000,6.124683390894205,321,756,0.0,1739,1,0.0,2,1,3,0.6931471805599453,7,0,1999.0,2,480,115,0.0,0.0,0.0,0.0,0.0,0.0,8,2009,172500,1953
60,4.499809670330265,9.362718052397064,7,5,2004,2004,0.0,860,860,0.0,1720,0,0.0,2,1,3,0.6931471805599453,7,0,2004.0,2,565,0,4.262679877041316,0.0,0.0,0.0,0.0,0.0,8,2006,196500,1720
60,4.204692619390966,9.52390946537981,10,5,2006,2006,6.939253946041508,1410,1519,0.0,2945,0,0.0,3,1,3,0.6931471805599453,10,1,2006.0,3,641,192,0.0,3.6375861597263857,0.0,0.0,0.0,0.0,10,2006,438780,2836
20,4.110873864173311,8.881975184248867,5,7,1972,1972,0.0,148,0,0.0,780,0,0.0,1,0,2,0.6931471805599453,4,0,1973.0,1,352,196,0.0,0.0,0.0,0.0,0.0,0.0,1,2008,124900,1560
20,4.158883083359672,9.47830431356186,6,5,2004,2004,0.0,217,0,0.0,1158,1,0.0,1,1,3,0.6931471805599453,5,0,2006.0,2,576,0,3.9318256327243257,0.0,0.0,0.0,0.0,0.0,5,2006,158000,2316
75,4.110873864173311,8.881975184248867,5,7,1920,1996,0.0,530,530,0.0,1111,0,0.0,1,0,3,0.6931471805599453,6,0,1935.0,1,288,0,0.0,4.976733742420574,0.0,0.0,0.0,0.0,3,2007,101000,1111
120,3.80666248977032,8.770749549138642,8,5,2006,2006,5.187385805840755,1346,0,0.0,1370,0,0.0,2,0,2,0.6931471805599453,6,1,2006.0,2,484,120,3.912023005428146,0.0,0.0,0.0,0.0,0.0,10,2007,202500,2740
70,3.9318256327243257,9.239996256883693,7,6,1921,1950,0.0,576,808,0.0,1710,0,0.0,2,0,3,0.6931471805599453,9,0,1990.0,2,480,12,2.4849066497880004,4.174387269895637,0.0,0.0,0.0,0.0,4,2010,140000,1478
60,4.248495242049359,9.145908511816794,7,5,1997,1998,6.352629396319567,318,977,0.0,2034,1,0.0,2,1,3,0.6931471805599453,8,0,1998.0,2,645,576,3.610917912644224,0.0,0.0,0.0,0.0,0.0,2,2009,219500,2114
60,4.343805421853684,9.16868469670735,8,5,2004,2005,5.84354441703136,1143,1330,0.0,2473,0,0.0,2,1,4,0.6931471805599453,9,1,2004.0,3,852,192,5.0238805208462765,0.0,0.0,0.0,0.0,0.0,10,2007,317000,2286
20,4.248495242049359,9.898525260706313,7,5,1970,1989,5.662960480135946,1035,0,0.0,2207,1,0.0,2,0,3,0.6931471805599453,7,1,1970.0,2,576,301,0.0,0.0,0.0,0.0,0.0,0.0,7,2010,180000,4154
20,4.290459441148391,9.274816391160549,7,5,2003,2003,5.123963979403259,440,0,0.0,1479,1,0.0,2,0,3,0.6931471805599453,7,0,2003.0,2,558,144,3.4011973816621555,0.0,0.0,0.0,0.0,0.0,6,2007,226000,2932
30,3.871201010907891,8.435766192720509,4,6,1945,1950,0.0,747,0,0.0,747,0,0.0,1,0,2,0.6931471805599453,4,0,1945.0,1,220,0,0.0,0.0,0.0,0.0,0.0,0.0,6,2010,80000,1494
50,4.406719247264253,9.654641503869543,7,4,1953,1953,0.0,701,983,0.0,2287,0,0.0,2,0,3,0.6931471805599453,7,1,1953.0,2,667,0,3.091042453358316,4.74493212836325,0.0,0.0,0.0,0.0,7,2006,225000,2608
20,4.564348191467836,9.521641310026595,7,6,1973,1973,7.017506142941256,343,0,0.0,2223,1,0.0,2,0,3,0.6931471805599453,8,2,1973.0,2,516,300,0.0,0.0,0.0,0.0,0.0,0.0,2,2007,244000,4446
20,4.248495242049359,8.935903526274423,4,6,1982,2006,0.0,280,0,0.0,845,1,0.0,1,0,2,0.6931471805599453,4,0,1987.0,2,360,0,0.0,0.0,0.0,0.0,0.0,0.0,6,2007,129500,1690
60,4.31748811353631,9.224440496354964,7,5,1998,1998,3.713572066704308,832,833,0.0,1718,0,0.0,2,1,3,0.6931471805599453,7,1,1998.0,2,427,0,4.553876891600541,0.0,0.0,5.676753802268282,0.0,0.0,12,2009,185000,1717
20,4.454347296253507,9.23024103368252,5,7,1954,2003,4.653960350157523,404,0,0.0,1086,1,0.0,1,0,3,0.6931471805599453,6,0,1989.0,2,490,0,0.0,0.0,0.0,0.0,0.0,0.0,5,2010,144900,2172
50,4.110873864173311,8.66406026722579,3,6,1915,1950,0.0,840,765,0.0,1605,0,0.0,2,0,3,1.0986122886681098,8,0,1915.0,1,379,0,0.0,5.313205979041787,0.0,0.0,0.0,0.0,5,2010,107400,1680
180,3.091042453358316,7.375882148215011,4,5,1973,1973,0.0,0,462,0.0,988,1,0.0,1,0,2,0.6931471805599453,5,0,1973.0,1,297,120,4.624972813284271,0.0,0.0,0.0,0.0,0.0,11,2009,91000,988
20,4.248495242049359,9.04499391938819,4,7,1956,1956,0.0,724,0,0.0,952,0,0.0,1,0,2,0.6931471805599453,4,0,1956.0,1,283,0,0.0,0.0,0.0,0.0,0.0,0.0,4,2008,135750,1904
50,3.9318256327243257,9.063694791634695,5,5,1948,2001,0.0,295,213,0.0,1285,1,0.0,1,0,2,0.6931471805599453,6,0,1948.0,1,240,0,0.0,0.0,0.0,0.0,0.0,0.0,1,2008,127000,1744
90,4.290459441148391,9.285355075781627,4,5,1968,1968,0.0,1768,0,0.0,1768,0,0.0,2,0,4,1.0986122886681098,8,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,2010,136500,3536
50,4.110873864173311,9.25349564229011,5,6,1910,1981,0.0,440,548,0.0,1230,0,0.0,1,1,2,0.6931471805599453,5,0,1966.0,2,440,74,0.0,4.859812404361672,0.0,0.0,0.0,0.0,5,2009,110000,1122
60,4.61512051684126,9.472781556562168,6,6,1968,1968,6.3578422665081,448,960,0.0,2142,0,0.0,2,1,4,0.6931471805599453,8,1,1968.0,1,509,0,4.290459441148391,0.0,0.0,5.53338948872752,0.0,0.0,6,2009,193500,2078
120,3.49650756146648,8.412054873292933,6,5,1998,1998,6.095824562432225,36,0,0.0,1337,1,0.0,2,0,2,0.6931471805599453,5,0,1998.0,2,405,0,5.298317366548036,0.0,0.0,0.0,0.0,0.0,3,2006,153500,2574
20,4.3694478524670215,9.2308290384035,8,5,2007,2007,6.150602768446279,1530,0,0.0,1563,0,0.0,2,0,3,0.6931471805599453,6,1,2007.0,3,758,144,4.605170185988092,0.0,0.0,0.0,0.0,0.0,10,2008,245000,3126
20,4.394449154672439,9.09301972939964,5,5,1960,1960,4.204692619390966,1065,0,0.0,1065,0,0.0,1,1,3,0.6931471805599453,6,0,1974.0,2,461,74,0.0,0.0,0.0,0.0,0.0,0.0,7,2007,126500,2130
80,4.248495242049359,9.051461866908694,7,5,1995,1996,3.1354942159291497,384,670,0.0,1474,0,0.0,2,1,3,0.6931471805599453,7,1,1995.0,2,400,120,4.290459441148391,0.0,0.0,0.0,0.0,6.55250788703459,5,2009,168500,1188
60,4.804021044733257,9.684086987500752,8,5,1991,1992,5.652489180268651,1288,1116,0.0,2417,0,0.0,2,1,4,0.6931471805599453,9,1,1991.0,2,462,127,4.418840607796598,0.0,0.0,0.0,0.0,0.0,4,2006,260000,2589
60,4.812184355372417,9.385301574363844,6,5,2005,2005,0.0,684,876,0.0,1560,0,0.0,2,1,3,0.6931471805599453,6,1,2005.0,2,400,100,3.6635616461296463,0.0,0.0,0.0,0.0,0.0,3,2009,174000,1368
160,3.713572066704308,8.281977058867758,6,5,2009,2009,4.343805421853684,612,612,0.0,1224,0,0.0,2,1,2,0.6931471805599453,4,0,2009.0,2,528,0,5.459585514144159,0.0,0.0,0.0,0.0,0.0,6,2009,164500,1224
50,4.663439094112067,9.044403844431551,3,2,1915,1982,0.0,1013,0,6.2422232654551655,1526,0,0.0,1,0,2,0.6931471805599453,6,0,0.0,0,0,0,0.0,5.056245805348308,0.0,0.0,0.0,0.0,10,2009,85000,2026
20,4.110873864173311,8.996032669324372,4,5,1994,1995,0.0,402,0,0.0,990,1,0.0,1,0,3,0.6931471805599453,5,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8,2007,123600,1980
20,4.110873864173311,8.881975184248867,4,5,1950,1950,0.0,0,0,0.0,1040,0,0.0,1,0,2,0.6931471805599453,4,0,1950.0,2,420,0,3.4011973816621555,0.0,0.0,0.0,0.0,0.0,7,2006,109900,1040
20,4.454347296253507,9.04793908261736,5,3,1961,1961,5.318119993844216,635,0,0.0,1235,0,0.0,1,0,2,0.6931471805599453,6,0,1961.0,2,480,0,0.0,0.0,0.0,0.0,0.0,0.0,12,2006,98600,2470
30,4.394449154672439,9.500095294588894,5,7,1921,2006,0.0,163,0,0.0,964,1,0.0,1,0,2,0.6931471805599453,5,0,1921.0,2,432,0,0.0,3.80666248977032,0.0,0.0,0.0,0.0,8,2009,163500,1840
190,4.110873864173311,8.881975184248867,6,6,1910,1998,0.0,168,1031,0.0,2291,0,0.6931471805599453,2,0,4,1.0986122886681098,9,1,1900.0,2,506,0,0.0,0.0,0.0,4.605170185988092,0.0,0.0,11,2007,133900,2474
60,4.248495242049359,9.141847375530883,6,5,1997,1997,0.0,176,881,0.0,1786,1,0.0,2,1,3,0.6931471805599453,7,0,1997.0,2,684,0,5.093750200806762,0.0,0.0,0.0,0.0,0.0,5,2007,204750,1729
60,4.248495242049359,9.186662244621605,6,8,1993,1993,4.23410650459726,370,790,0.0,1470,0,0.0,2,1,3,0.6931471805599453,6,1,1993.0,2,420,232,4.158883083359672,0.0,0.0,0.0,0.0,6.175867270105761,4,2009,185000,1360
20,4.3694478524670215,9.236495329453032,7,5,1999,1999,5.214935757608986,426,0,0.0,1588,0,0.0,2,0,3,0.6931471805599453,6,0,1999.0,2,472,158,3.4011973816621555,0.0,0.0,0.0,0.0,0.0,8,2006,214000,3176
20,4.30406509320417,9.2985343827121,4,5,1965,1965,3.8918202981106265,440,0,0.0,960,1,0.0,1,0,3,0.6931471805599453,6,0,1965.0,1,432,120,0.0,0.0,0.0,0.0,0.0,0.0,5,2007,94750,1920
30,4.454347296253507,9.271059107010888,5,5,1920,1950,0.0,350,0,0.0,835,0,0.0,1,0,2,0.6931471805599453,5,0,1920.0,1,366,0,0.0,4.356708826689592,0.0,0.0,0.0,5.993961427306569,5,2010,83000,1293
20,4.356708826689592,9.140025198061156,4,5,1959,1959,0.0,381,0,0.0,1225,1,0.0,1,1,3,0.6931471805599453,6,0,0.0,0,0,352,0.0,0.0,0.0,0.0,0.0,5.993961427306569,1,2010,128950,2175
20,4.248495242049359,9.268986567408916,6,7,1977,2001,3.367295829986474,410,0,0.0,1610,1,0.0,2,0,3,0.6931471805599453,6,2,1977.0,2,480,168,4.23410650459726,0.0,0.0,0.0,0.0,0.0,2,2010,205000,3220
60,4.356708826689592,9.127719343287843,6,5,1985,1985,5.820082930352362,741,755,0.0,1732,0,0.0,2,1,3,0.6931471805599453,7,1,1985.0,2,476,192,3.8501476017100575,0.0,0.0,0.0,0.0,0.0,6,2010,178000,1718
90,4.174387269895637,8.856376036730422,5,5,1979,1979,0.0,0,0,0.0,1535,0,0.0,2,0,4,1.0986122886681098,8,0,1979.0,2,410,0,0.0,0.0,0.0,0.0,0.0,0.0,6,2009,118964,1535
20,4.553876891600541,9.249849505070896,7,5,2009,2009,0.0,1226,0,0.0,1226,0,0.0,2,0,3,0.6931471805599453,6,0,2009.0,3,740,0,3.610917912644224,0.0,0.0,0.0,0.0,0.0,5,2010,198900,2452
50,4.248495242049359,8.95660873889395,7,4,1931,1950,6.398594934535208,816,592,0.0,1818,0,0.0,1,1,4,0.6931471805599453,7,2,1951.0,1,240,0,0.0,0.0,0.0,5.220355825078324,0.0,0.0,6,2007,169500,2266
60,4.330733340286331,9.145908511816794,8,5,2003,2004,6.645090969505644,1053,939,0.0,1992,0,0.0,2,1,3,0.6931471805599453,9,1,2003.0,2,648,140,3.828641396489095,0.0,0.0,0.0,0.0,0.0,8,2008,250000,2106
30,4.110873864173311,9.287394001418471,4,7,1885,1995,0.0,641,0,0.0,1047,0,0.0,1,0,2,0.6931471805599453,6,0,1954.0,1,273,0,0.0,0.0,0.0,0.0,0.0,6.111467339502679,8,2007,100000,1688
20,3.9318256327243257,8.699681400989514,5,5,1948,1950,0.0,516,0,0.0,789,0,0.0,1,0,2,0.6931471805599453,5,0,1948.0,1,250,0,0.0,0.0,0.0,0.0,0.0,0.0,4,2008,115000,1578
50,4.454347296253507,9.04793908261736,5,7,1919,2005,0.0,793,520,0.0,1517,0,0.0,2,0,3,0.6931471805599453,7,0,0.0,0,0,0,0.0,4.976733742420574,0.0,0.0,0.0,0.0,8,2007,115000,1790
20,4.663439094112067,9.371778717853712,6,6,1977,1977,6.175867270105761,1139,0,0.0,1844,0,0.0,2,0,3,0.6931471805599453,7,1,1977.0,2,546,0,4.812184355372417,0.0,0.0,0.0,0.0,0.0,1,2010,190000,3688
50,4.330733340286331,9.161780181360806,6,4,1954,1972,0.0,550,639,0.0,1855,0,0.0,2,0,4,0.6931471805599453,7,0,1954.0,1,325,182,0.0,0.0,0.0,0.0,0.0,0.0,10,2006,136900,2210
80,4.248495242049359,8.955577146281511,7,5,2000,2000,0.0,134,656,0.0,1430,0,0.0,2,1,3,0.6931471805599453,7,1,2000.0,2,400,180,0.0,0.0,0.0,0.0,0.0,0.0,4,2010,180000,1158
